title_id,title_type,primary_title,original_title,year,runtime_minutes,genres,country
tt0051393,movie,The Badlanders,The Badlanders,1958,85,"Romance,Western",USA
tt0051394,movie,Badman's Country,Badman's Country,1958,68,"Action,Adventure,Western",USA
tt0051398,movie,The Barbarian and the Geisha,The Barbarian and the Geisha,1958,105,"Adventure,Drama,History",USA
tt0051399,movie,Bari Theke Paliye,Bari Theke Paliye,1958,124,Drama,India
tt0051400,movie,This Angry Age,This Angry Age,1957,103,Drama,"Italy, France, USA"
tt0051402,movie,Missiles from Hell,Battle of the V-1,1958,104,"Drama,War",UK
tt0051404,movie,Le Beau Serge,Le beau Serge,1958,98,Drama,France
tt0051405,movie,Behind the Mask,Behind the Mask,1958,99,Drama,UK
tt0051406,movie,Bell Book and Candle,Bell Book and Candle,1958,106,"Comedy,Fantasy,Romance",USA
tt0051411,movie,The Big Country,The Big Country,1958,166,"Action,Romance,Western",USA
